date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:17	47732/47732	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/2.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/2.png	(from http://quomodosoft.com/html/appro/)
21:09:19	58710/58710	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Mar%202018%2001:26:57%20GMT	http://quomodosoft.com/html/appro/demo/index6.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/index6.html	(from http://quomodosoft.com/html/appro/)
21:09:22	23477/23477	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:58%20GMT	http://quomodosoft.com/html/appro/demo/blog.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog.html	(from http://quomodosoft.com/html/appro/)
21:09:25	50695/50695	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/1.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/1.png	(from http://quomodosoft.com/html/appro/)
21:09:25	43521/43521	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/7.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/7.png	(from http://quomodosoft.com/html/appro/)
21:09:26	24760/24760	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:12%20GMT	http://quomodosoft.com/html/appro/demo/blog2.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog2.html	(from http://quomodosoft.com/html/appro/)
21:09:28	30901/30901	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:28%20GMT	http://quomodosoft.com/html/appro/demo/blog-left-sidebar.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog-left-sidebar.html	(from http://quomodosoft.com/html/appro/)
21:09:31	57771/57771	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Apr%202017%2003:38:46%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/6.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/6.png	(from http://quomodosoft.com/html/appro/)
21:09:32	57257/57257	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/4.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/4.png	(from http://quomodosoft.com/html/appro/)
21:09:32	30892/30892	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:20%20GMT	http://quomodosoft.com/html/appro/demo/blog-right-sidebar.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog-right-sidebar.html	(from http://quomodosoft.com/html/appro/)
21:09:34	35493/35493	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:48%20GMT	http://quomodosoft.com/html/appro/demo/blog-details-left-sidebar.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog-details-left-sidebar.html	(from http://quomodosoft.com/html/appro/)
21:09:36	52745/52745	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/8.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/8.png	(from http://quomodosoft.com/html/appro/)
21:09:38	35484/35484	---M--	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202017%2019:11:38%20GMT	http://quomodosoft.com/html/appro/demo/blog-details-right-sidebar.html	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/demo/blog-details-right-sidebar.html	(from http://quomodosoft.com/html/appro/)
21:09:39	49360/49360	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/11.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/11.png	(from http://quomodosoft.com/html/appro/)
21:09:41	48437/48437	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/12.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/12.png	(from http://quomodosoft.com/html/appro/)
21:09:45	56891/56891	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/9.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/9.png	(from http://quomodosoft.com/html/appro/)
21:09:47	57595/57595	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2021:38:08%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/10.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/10.png	(from http://quomodosoft.com/html/appro/)
21:09:49	65806/65806	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Apr%202017%2018:49:36%20GMT	http://quomodosoft.com/html/appro/assest/img/demo/responsive.png	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/img/demo/responsive.png	(from http://quomodosoft.com/html/appro/)
21:09:50	8958/8958	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202017%2016:17:26%20GMT	http://quomodosoft.com/html/appro/assest/js/plugins/jquery.parallax-scroll.js	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/js/plugins/jquery.parallax-scroll.js	(from http://quomodosoft.com/html/appro/)
21:09:50	37045/37045	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Apr%202017%2016:17:26%20GMT	http://quomodosoft.com/html/appro/assest/js/bootstrap.min.js	C:/My%20Web%20Sites/ripple/quomodosoft.com/html/appro/assest/js/bootstrap.min.js	(from http://quomodosoft.com/html/appro/)
